Flight Number,Assigned Gate,Arrival Time,Departure Time,Near Gate
3U8366,151,06-13 00:00,06-13 08:00,Yes
3U8670,115,06-13 00:00,06-13 08:15,Yes
3U8898,422,06-13 00:00,06-13 09:30,No
3U8908,167,06-13 00:00,06-13 06:25,Yes
3U8936,136,06-13 00:00,06-13 06:40,Yes
3U8996,166,06-13 00:00,06-13 08:30,Yes
CA4118,119,06-13 00:00,06-13 08:30,Yes
CA4204,147,06-13 00:00,06-13 07:00,Yes
CA4502,316,06-13 00:00,06-13 07:00,No
CA4522,301,06-13 00:00,06-13 09:05,No
CA4524,215,06-13 00:00,06-13 07:05,No
EU2220,177,06-13 00:00,06-13 06:40,Yes
EU2284,165,06-13 00:00,06-13 06:55,Yes
EU2758,142,06-13 00:00,06-13 07:50,Yes
MU6649,172,06-13 00:00,06-13 07:55,Yes
TV9812,126,06-13 00:00,06-13 10:00,Yes
TV9826,321,06-13 00:00,06-13 07:25,No
TV9832,174,06-13 00:00,06-13 10:00,Yes
TV9942,107,06-13 00:00,06-13 11:00,Yes
CA4334,112,06-13 01:00,06-13 08:00,Yes
CA4424,214,06-13 01:00,06-13 09:15,No
TV9858,116,06-13 01:00,06-13 06:25,Yes
CA4326,175,06-13 01:05,06-13 06:35,Yes
3U8708,134,06-13 01:15,06-13 09:00,Yes
MU6376,139,06-13 01:15,06-13 07:55,Yes
3U8360,154,06-13 01:20,06-13 07:30,Yes
CA4534,171,06-13 01:25,06-13 07:30,Yes
CA4210,167,06-13 01:40,06-13 09:50,Yes
CA4324,507,06-13 01:40,06-13 08:00,No
3U8718,401,06-13 01:50,06-13 07:15,No
CA4294,315,06-13 01:55,06-13 07:20,No
3U8775,606,06-13 08:30,06-13 16:20,No
3U8362,336,06-13 09:35,06-13 10:40,No
MU5841,150,06-13 09:35,06-13 10:50,Yes
3U8890,305,06-13 09:50,06-13 10:55,No
CA8261,146,06-13 09:50,06-13 10:55,Yes
CZ5861,309,06-13 09:50,06-13 10:55,No
GJ8067,364,06-13 09:50,06-13 10:55,No
CA4182,503,06-13 09:55,06-13 11:00,No
TV9957,170,06-13 09:55,06-13 11:35,Yes
CA4408,140,06-13 10:20,06-13 11:15,Yes
3U8900,608,06-13 10:25,06-13 11:30,No
CA1405,172,06-13 10:25,06-13 11:45,Yes
CA4526,607,06-13 10:25,06-13 12:35,No
TV9955,131,06-13 10:25,06-13 12:40,Yes
ZH9401,315,06-13 10:30,06-13 11:50,No
3U8710,123,06-13 10:35,06-13 11:40,Yes
CA9847,160,06-13 10:35,06-13 11:40,Yes
CA8971,227,06-13 10:40,06-13 11:55,No
MU5401,318,06-13 10:40,06-13 12:00,No
CA4208,205,06-13 10:50,06-13 11:55,No
CA8143,324,06-13 10:50,06-13 11:55,No
3U8650,201,06-13 10:55,06-13 13:30,No
CZ6161,134,06-13 10:55,06-13 12:30,Yes
MU6641,615,06-13 11:00,06-13 12:15,No
CA4394,214,06-13 11:10,06-13 12:15,No
EU1802,165,06-13 11:10,06-13 13:05,Yes
TV9946,320,06-13 11:10,06-13 12:45,No
3U8958,122,06-13 11:15,06-13 12:20,Yes
ZH9403,167,06-13 11:15,06-13 12:30,Yes
EU2242,124,06-13 11:20,06-13 12:30,Yes
CA4410,364,06-13 11:25,06-13 12:25,No
CA8557,104,06-13 11:25,06-13 12:40,Yes
MU5843,147,06-13 11:35,06-13 13:00,Yes
3U8628,217,06-13 11:40,06-14 09:40,No
3U8734,619,06-13 11:40,06-13 13:00,No
CA1741,313,06-13 11:40,06-13 16:25,No
TV9729,130,06-13 11:40,06-13 15:50,Yes
TV9881,112,06-13 11:40,06-13 12:55,Yes
CZ3437,421,06-13 11:45,06-13 13:00,No
3U8792,162,06-13 11:50,06-13 12:55,Yes
CA4184,232,06-13 11:50,06-13 13:30,No
3U8852,118,06-13 11:55,06-13 19:55,Yes
CA4050,136,06-13 11:55,06-13 13:05,Yes
CA1747,424,06-13 12:00,06-13 13:15,No
CZ8847,505,06-13 12:00,06-13 13:30,No
MU6643,153,06-13 12:10,06-13 13:15,Yes
MU5403,123,06-13 12:15,06-13 14:35,Yes
MU5405,159,06-13 12:15,06-13 13:30,Yes
CA1415,317,06-13 12:25,06-13 13:45,No
EU1814,423,06-13 12:35,06-13 13:40,No
3U8640,310,06-13 12:40,06-13 13:35,No
3U8702,357,06-13 12:40,06-13 14:20,No
3U8738,139,06-13 12:50,06-13 14:15,Yes
3U8934,150,06-13 12:50,06-13 14:15,Yes
CA4234,218,06-13 12:50,06-13 14:00,No
CA4186,348,06-13 12:55,06-13 14:55,No
TV9960,170,06-13 12:55,06-13 13:55,Yes
3U8766,601,06-13 13:05,06-13 15:00,No
3U8692,204,06-13 13:10,06-13 15:30,No
3U8968,120,06-13 13:10,06-13 15:15,Yes
3U8862,352,06-13 13:15,06-13 15:50,No
CA4400,202,06-13 13:15,06-13 14:30,No
