Flight Number,Assigned Gate,Arrival Time,Departure Time,Near Gate
3U8366,156,06-13 00:00,06-13 08:00,Yes
3U8670,119,06-13 00:00,06-13 08:15,Yes
3U8898,138,06-13 00:00,06-13 09:30,Yes
3U8908,351,06-13 00:00,06-13 06:25,No
3U8936,365,06-13 00:00,06-13 06:40,No
3U8996,503,06-13 00:00,06-13 08:30,No
CA4118,705,06-13 00:00,06-13 08:30,No
CA4204,348,06-13 00:00,06-13 07:00,No
CA4502,135,06-13 00:00,06-13 07:00,Yes
CA4522,103,06-13 00:00,06-13 09:05,Yes
CA4524,504,06-13 00:00,06-13 07:05,No
EU2220,150,06-13 00:00,06-13 06:40,Yes
EU2284,117,06-13 00:00,06-13 06:55,Yes
EU2758,352,06-13 00:00,06-13 07:50,No
MU6649,216,06-13 00:00,06-13 07:55,No
TV9812,619,06-13 00:00,06-13 10:00,No
TV9826,234,06-13 00:00,06-13 07:25,No
TV9832,131,06-13 00:00,06-13 10:00,Yes
TV9942,616,06-13 00:00,06-13 11:00,No
CA4334,162,06-13 01:00,06-13 08:00,Yes
CA4424,203,06-13 01:00,06-13 09:15,No
TV9858,217,06-13 01:00,06-13 06:25,No
CA4326,127,06-13 01:05,06-13 06:35,Yes
3U8708,235,06-13 01:15,06-13 09:00,No
MU6376,129,06-13 01:15,06-13 07:55,Yes
3U8360,176,06-13 01:20,06-13 07:30,Yes
CA4534,167,06-13 01:25,06-13 07:30,Yes
CA4210,403,06-13 01:40,06-13 09:50,No
CA4324,420,06-13 01:40,06-13 08:00,No
3U8718,136,06-13 01:50,06-13 07:15,Yes
CA4294,171,06-13 01:55,06-13 07:20,Yes
3U8775,617,06-13 08:30,06-13 16:20,No
3U8362,123,06-13 09:35,06-13 10:40,Yes
MU5841,407,06-13 09:35,06-13 10:50,No
3U8890,351,06-13 09:50,06-13 10:55,No
CA8261,147,06-13 09:50,06-13 10:55,Yes
CZ5861,162,06-13 09:50,06-13 10:55,Yes
GJ8067,128,06-13 09:50,06-13 10:55,Yes
CA4182,334,06-13 09:55,06-13 11:00,No
TV9957,116,06-13 09:55,06-13 11:35,Yes
CA4408,710,06-13 10:20,06-13 11:15,No
3U8900,401,06-13 10:25,06-13 11:30,No
CA1405,218,06-13 10:25,06-13 11:45,No
CA4526,323,06-13 10:25,06-13 12:35,No
TV9955,612,06-13 10:25,06-13 12:40,No
ZH9401,619,06-13 10:30,06-13 11:50,No
3U8710,149,06-13 10:35,06-13 11:40,Yes
CA9847,206,06-13 10:35,06-13 11:40,No
CA8971,604,06-13 10:40,06-13 11:55,No
MU5401,421,06-13 10:40,06-13 12:00,No
CA4208,342,06-13 10:50,06-13 11:55,No
CA8143,601,06-13 10:50,06-13 11:55,No
3U8650,610,06-13 10:55,06-13 13:30,No
CZ6161,363,06-13 10:55,06-13 12:30,No
MU6641,125,06-13 11:00,06-13 12:15,Yes
CA4394,313,06-13 11:10,06-13 12:15,No
EU1802,362,06-13 11:10,06-13 13:05,No
TV9946,403,06-13 11:10,06-13 12:45,No
3U8958,329,06-13 11:15,06-13 12:20,No
ZH9403,150,06-13 11:15,06-13 12:30,Yes
EU2242,409,06-13 11:20,06-13 12:30,No
CA4410,359,06-13 11:25,06-13 12:25,No
CA8557,120,06-13 11:25,06-13 12:40,Yes
MU5843,226,06-13 11:35,06-13 13:00,No
3U8628,142,06-13 11:40,06-14 09:40,Yes
3U8734,212,06-13 11:40,06-13 13:00,No
CA1741,101,06-13 11:40,06-13 16:25,Yes
TV9729,219,06-13 11:40,06-13 15:50,No
TV9881,319,06-13 11:40,06-13 12:55,No
CZ3437,408,06-13 11:45,06-13 13:00,No
3U8792,326,06-13 11:50,06-13 12:55,No
CA4184,502,06-13 11:50,06-13 13:30,No
3U8852,155,06-13 11:55,06-13 19:55,Yes
CA4050,111,06-13 11:55,06-13 13:05,Yes
CA1747,507,06-13 12:00,06-13 13:15,No
CZ8847,147,06-13 12:00,06-13 13:30,Yes
MU6643,704,06-13 12:10,06-13 13:15,No
MU5403,423,06-13 12:15,06-13 14:35,No
MU5405,305,06-13 12:15,06-13 13:30,No
CA1415,708,06-13 12:25,06-13 13:45,No
EU1814,122,06-13 12:35,06-13 13:40,Yes
3U8640,168,06-13 12:40,06-13 13:35,Yes
3U8702,337,06-13 12:40,06-13 14:20,No
3U8738,202,06-13 12:50,06-13 14:15,No
3U8934,616,06-13 12:50,06-13 14:15,No
CA4234,109,06-13 12:50,06-13 14:00,Yes
CA4186,317,06-13 12:55,06-13 14:55,No
TV9960,318,06-13 12:55,06-13 13:55,No
3U8766,352,06-13 13:05,06-13 15:00,No
3U8692,164,06-13 13:10,06-13 15:30,Yes
3U8968,102,06-13 13:10,06-13 15:15,Yes
3U8862,503,06-13 13:15,06-13 15:50,No
CA4400,117,06-13 13:15,06-13 14:30,Yes
EU2236,425,06-13 13:15,06-13 16:15,No
CA4398,339,06-13 13:25,06-13 17:30,No
3U8980,363,06-13 13:30,06-13 14:45,No
CA4402,504,06-13 13:40,06-13 15:00,No
CZ3443,150,06-13 13:40,06-13 15:00,Yes
CA4300,331,06-13 13:45,06-13 14:55,No
CA4512,506,06-13 13:50,06-13 17:00,No
CA4520,217,06-13 13:50,06-13 18:55,No
3U8694,704,06-13 13:55,06-13 16:15,No
TV9982,227,06-13 13:55,06-13 15:30,No
CA4120,118,06-13 14:00,06-13 16:00,Yes
3U8952,215,06-13 14:10,06-13 16:40,No
TV9824,232,06-13 14:10,06-13 15:25,No
EU2218,205,06-13 14:15,06-13 15:25,No
3U8630,619,06-13 14:25,06-13 15:30,No
3U8889,603,06-13 14:25,06-13 15:30,No
3U8990,207,06-13 14:25,06-13 15:35,No
3U8884,129,06-13 14:30,06-13 16:55,Yes
CA4046,357,06-13 14:30,06-13 16:00,No
CA4226,204,06-13 14:30,06-13 15:25,No
CA4306,407,06-13 14:30,06-13 15:35,No
CA4532,160,06-13 14:30,06-13 15:25,Yes
MU6645,302,06-13 14:35,06-13 16:00,No
ZH9405,405,06-13 14:35,06-13 16:00,No
CA4504,212,06-13 14:50,06-13 16:05,No
TV9892,231,06-13 14:50,06-13 16:15,No
3U8906,211,06-13 14:55,06-13 18:15,No
3U8962,213,06-13 14:55,06-13 17:35,No
CA4114,309,06-13 14:55,06-13 16:15,No
CZ6183,421,06-13 14:55,06-13 16:30,No
3U8912,210,06-13 15:00,06-13 17:35,No
3U8924,311,06-13 15:05,06-13 18:00,No
CZ3453,336,06-13 15:10,06-13 16:30,No
MU5411,115,06-13 15:15,06-13 17:00,Yes
CA4202,161,06-13 15:20,06-13 16:45,Yes
3U8468,616,06-13 15:25,06-13 16:35,No
CA4338,359,06-13 15:25,06-13 17:25,No
CA4414,308,06-13 15:25,06-13 18:30,No
3U8982,426,06-13 15:30,06-13 17:20,No
CZ3471,107,06-13 15:40,06-13 19:00,Yes
MU5409,332,06-13 15:40,06-13 17:30,No
CA4462,301,06-13 15:45,06-13 20:30,No
EU6666,149,06-13 15:45,06-13 17:05,Yes
CA4220,224,06-13 15:55,06-13 17:55,No
CA4228,119,06-13 15:55,06-13 17:00,Yes
EU1970,146,06-13 15:55,06-13 17:25,Yes
CA4102,609,06-13 16:00,06-13 21:30,No
CA8265,214,06-13 16:00,06-13 17:10,No
CZ6103,304,06-13 16:00,06-13 17:30,No
3U8668,110,06-13 16:05,06-13 17:55,Yes
CA4236,112,06-13 16:05,06-13 17:45,Yes
MU6172,351,06-13 16:05,06-13 17:15,No
3U8886,314,06-13 16:15,06-13 17:30,No
CA1745,319,06-13 16:15,06-13 17:30,No
3U8964,151,06-13 16:25,06-13 18:30,Yes
CA4508,362,06-13 16:25,06-13 18:00,No
3U8732,137,06-13 16:35,06-14 07:00,Yes
3U8572,144,06-13 16:40,06-13 18:30,Yes
CA4530,230,06-13 16:50,06-13 17:55,No
CA4218,104,06-13 17:05,06-13 18:30,Yes
MU5851,177,06-13 17:05,06-13 18:20,Yes
3U8472,338,06-13 17:15,06-13 18:20,No
CA4108,345,06-13 17:15,06-13 19:00,No
TV9882,425,06-13 17:15,06-14 06:00,No
ZH9407,218,06-13 17:15,06-13 20:30,No
3U8992,114,06-13 17:25,06-13 18:35,Yes
CA4392,159,06-13 17:25,06-13 18:30,Yes
CZ3417,707,06-13 17:35,06-13 21:00,No
EU2806,333,06-13 17:35,06-14 07:55,No
CA4116,329,06-13 17:50,06-13 18:55,No
3U8704,101,06-13 17:55,06-13 21:35,Yes
CA4448,118,06-13 17:55,06-13 21:05,Yes
CA4540,117,06-13 18:00,06-13 19:25,Yes
CZ3903,234,06-13 18:00,06-13 19:30,No
EU2774,610,06-13 18:00,06-13 19:05,No
TV9842,706,06-13 18:00,06-13 19:10,No
3U8842,307,06-13 18:10,06-13 19:15,No
CA2963,353,06-13 18:10,06-13 19:15,No
TV9904,616,06-13 18:15,06-14 10:00,No
GJ8091,357,06-13 18:20,06-13 20:00,No
MU5413,116,06-13 18:30,06-13 19:50,Yes
CA4318,239,06-13 18:35,06-13 19:55,No
MU5849,154,06-13 18:35,06-13 19:55,Yes
CZ5793,233,06-13 18:40,06-13 19:55,No
CA4240,322,06-13 18:45,06-13 19:40,No
CA1401,143,06-13 18:55,06-13 20:30,Yes
EU1860,204,06-13 18:55,06-13 20:05,No
MU9877,131,06-13 18:55,06-13 20:05,Yes
TV9958,306,06-13 19:00,06-14 11:35,No
3U8954,501,06-13 19:05,06-13 20:20,No
EU2756,348,06-13 19:05,06-14 06:40,No
CA4396,169,06-13 19:15,06-13 20:35,Yes
MU6647,617,06-13 19:15,06-13 20:20,No
CA4506,613,06-13 19:20,06-13 20:25,No
CA4418,150,06-13 19:25,06-13 20:30,Yes
CA8269,108,06-13 19:30,06-13 20:40,Yes
3U8942,604,06-13 19:35,06-13 20:40,No
CA1749,602,06-13 19:35,06-13 21:00,No
3U8932,705,06-13 19:40,06-13 21:30,No
CA1407,504,06-13 19:45,06-13 21:00,No
CA8561,328,06-13 19:45,06-13 21:00,No
3U8706,309,06-13 19:50,06-14 07:15,No
TV9866,113,06-13 19:50,06-14 10:00,Yes
TV9966,161,06-13 19:50,06-14 13:40,Yes
CA8521,237,06-13 19:55,06-13 21:25,No
